DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	PHIX	RHOMAT	MBVI	MPHI
4210	-22.875	75.379	10.549	10	0.759	0.774	0.753	2.285	0.41445	40	0.343202	2.904208	-999.25	-999.25
4210.5	-22.875	75.7472	10.5238	10	0.7818	0.7748	0.7527	2.2793	0.39803	40	0.3415274	2.890963	-999.25	-999.25
4211	-22.875	79.683	10.563	10	0.761	0.774	0.751	2.266	0.41358	40	0.3489658	2.890996	-999.25	-999.25
4211.5	-22.4067	84.8242	10.5268	10	0.7422	0.7695	0.7497	2.2625	0.412927	40	0.3494028	2.88682	-999.25	-999.25
4212	-23.5	86.035	10.541	10	0.708	0.767	0.748	2.26	0.42566	40	0.3497114	2.883823	-999.25	-999.25
4212.5	-21.8647	82.2108	10.5738	10	0.7268	0.763	0.743	2.2967	0.405732	40	0.3385391	2.909177	-999.25	-999.25
4213	-21.188	78.835	10.628	10	0.786	0.758	0.738	2.33	0.38194	40	0.320606	2.910437	-999.25	-999.25
4213.5	-21.6147	79.6405	10.7405	10	0.7337	0.747	0.7312	2.3593	0.373012	40	0.2991726	2.896876	-999.25	-999.25
4214	-20.313	80.953	10.823	10	0.702	0.737	0.727	2.341	0.36162	40	0.2945946	2.859272	-999.25	-999.25
4214.5	-21.9272	82.9947	10.8228	10	0.6937	0.7257	0.7237	2.3108	0.390582	40	0.3369442	2.926091	-999.25	-999.25
